Ensembl_ID,Gene name,Control_1,Control_2,Control_3,DAC_1,DAC_2,DAC_3
ENSMUSG00000000001,Gnai3,14107,16631,14781,11933,15713,18196
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,2875,2950,2814,2647,3381,3909
ENSMUSG00000000031,H19,123,90,103,41,51,53
ENSMUSG00000000037,Scml2,0,0,0,125,141,196
ENSMUSG00000000049,Apoh,1,2,7,31,34,46
ENSMUSG00000000056,Narf,1694,1337,1212,429,566,787
ENSMUSG00000000058,Cav2,3878,4832,4261,2403,3070,3392
ENSMUSG00000000078,Klf6,12356,9988,9074,15588,19713,26649
ENSMUSG00000000085,Scmh1,1903,2133,2030,1074,1386,1629
ENSMUSG00000000088,Cox5a,3403.99,3802.99,3594.98,2717.98,3523.96,4047.99
ENSMUSG00000000093,Tbx2,35,27,27,89,147,150
ENSMUSG00000000094,Tbx4,0,0,0,0,1,2
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,25,25,18,40,72,74
ENSMUSG00000000125,Wnt3,0,0,0,4,8,5
ENSMUSG00000000126,Wnt9a,105,53,58,107,152,243
ENSMUSG00000000127,Fer,1293,1529,1372,930,1298,1474
ENSMUSG00000000131,Xpo6,5472,5487,5748,3501,4434,6165
ENSMUSG00000000134,Tfe3,2494,2448,2484,2045,2575,3383
ENSMUSG00000000142,Axin2,0,1,1,9,18,16
ENSMUSG00000000148,Brat1,627,521,536,341,503,622
ENSMUSG00000000149,Gna12,3016.32,2953.23,2911.25,2395.88,2964.65,3436.94
ENSMUSG00000000154,Slc22a18,9,5,5,11,20,16
ENSMUSG00000000157,Itgb2l,0,0,0,0,0,0
ENSMUSG00000000159,Igsf5,0,0,2,0,0,0
ENSMUSG00000000167,Pih1d2,59,71,67,65,103,130
ENSMUSG00000000168,Dlat,4379,4742,4562,3120,4199,4939
ENSMUSG00000000171,Sdhd,4440,5110,4650,2297,3138,3541
ENSMUSG00000000182,Fgf23,0,0,0,0,0,0
ENSMUSG00000000183,Fgf6,0,0,0,3,7,12
ENSMUSG00000000184,Ccnd2,4448.64,4370.46,4189.84,2411.27,3092.8,3828.11
ENSMUSG00000000194,Gpr107,1549.17,1746.15,1650.36,1505,2019.51,2522.94
ENSMUSG00000000197,Nalcn,2,9,1,7,13,14
ENSMUSG00000000202,Btbd17,0,1,0,3,1,5
ENSMUSG00000000204,Slfn4,2,6,1,902.56,1235.23,1376.89
ENSMUSG00000000214,Th,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,0,0,0,16,13,25
ENSMUSG00000000223,Drp2,153,122,134,34,51,98
ENSMUSG00000000244,Tspan32,1,3,0,1,5,5
ENSMUSG00000000247,Lhx2,3,2,3,8,16,12
ENSMUSG00000000248,Clec2g,0,1,0,2,1,3
ENSMUSG00000000253,Gmpr,51,66,67,35,34,37
ENSMUSG00000000263,Glra1,1,1,1,7,10,8
ENSMUSG00000000266,Mid2,1057,1080.24,984,595,715,1020
ENSMUSG00000000275,Trim25,4555,4760,4717,11154,14020,17594
ENSMUSG00000000276,Dgke,975.01,1749.03,1473.35,1639.25,2110.54,1986.98
ENSMUSG00000000278,Scpep1,4211,4842,4756,2526,3398,3866
ENSMUSG00000000282,Mnt,1774,2314,2043,1664,2046,2694
ENSMUSG00000000290,Itgb2,1661,1963,2061,1039,1403,1485
ENSMUSG00000000295,Hddc2,1575,1919,1690,1049,1408,1626
ENSMUSG00000000296,Tpd52l1,492,686,708,1156,1528,1573
ENSMUSG00000000301,Pemt,195,249,229,181,247,310
ENSMUSG00000000303,Cdh1,17527,23289,22619,14868,19599,21306
ENSMUSG00000000305,Cdh4,0,1,0,2,3,1
ENSMUSG00000000308,Ckmt1,0,1,0,1,0,1
ENSMUSG00000000317,Bcl6b,4,6,3,11,15,13
ENSMUSG00000000318,Clec10a,1,3,3,3,5,7
ENSMUSG00000000320,Alox12,0,0,0,2,4,9
ENSMUSG00000000325,Arvcf,621.15,575.12,554.19,402.02,434.03,577.02
ENSMUSG00000000326,Comt,3702.56,3704.63,3546.29,3678.35,5719.71,5854.36
ENSMUSG00000000339,Rtca,2905.63,3328.5,3177.32,2519.79,3318.13,3881.66
ENSMUSG00000000340,Dbt,945.69,1285.01,1153.42,727.32,973.53,1241.82
ENSMUSG00000000346,Dazap2,4690,6146,5272,2198,3105,3131
ENSMUSG00000000355,Mcts1,953,879,776,461,594,738
ENSMUSG00000000359,Rem1,0,2,0,0,1,2
ENSMUSG00000000365,Rnf17,0,0,1,77,86,107
ENSMUSG00000000374,Trappc10,3685,4050,3985,2917,3782,5006
ENSMUSG00000000378,Ccm2,3401,3421,3291,2374,3246,3781
ENSMUSG00000000381,Wap,0,0,0,2,1,3
ENSMUSG00000000384,Tbrg4,3708.22,4470.42,4246.04,3574.89,4632.12,5794.36
ENSMUSG00000000385,Tmprss2,14,8,3,10,10,17
ENSMUSG00000000386,Mx1,2,3,8,299.53,368.33,491.22
ENSMUSG00000000392,Fap,5,10,8,56,115,168
ENSMUSG00000000394,Gcg,0,0,0,16,27,46
ENSMUSG00000000399,Ndufa9,2898,3524,3175,2405,3114,3625
ENSMUSG00000000402,Egfl6,0,0,0,3,0,0
ENSMUSG00000000409,Lck,94,70,82,62,82,76
ENSMUSG00000000411,Tssk3,0,0,0,7,10,13
ENSMUSG00000000416,Cttnbp2,0,0,0,0,2,1
ENSMUSG00000000420,Galnt1,10578,12166,11361,5579,7120,8726
ENSMUSG00000000435,Myf5,0,0,0,0,0,0
ENSMUSG00000000439,Mkrn2,1433.49,1734.43,1635.8,1098.19,1428.32,1598.85
ENSMUSG00000000440,Pparg,0,1,1,63,77,105
ENSMUSG00000000441,Raf1,4332.15,4923.84,4853.41,3363.31,4298.02,5191.68
ENSMUSG00000000486,1-Sep,49,58,49,47,41,56
ENSMUSG00000000489,Pdgfb,5803,5131,5159,1956,2690,3573
ENSMUSG00000000530,Acvrl1,3,1,1,2,2,1
ENSMUSG00000000531,Grasp,440,428,430,275,427,496
ENSMUSG00000000532,Acvr1b,562,506,484,287,357,452
ENSMUSG00000000538,Tom1l2,1475,1611,1639,1291,1831.33,1923
ENSMUSG00000000544,Gpa33,5589,6442,6197,4637,6163,6619
ENSMUSG00000000552,Zfp385a,248,293,278,194,274,279
ENSMUSG00000000555,Itga5,2026,2063,2107,1339,1663,1984
ENSMUSG00000000560,Gabra2,0,0.01,2.18,1.7,0.39,2.14
ENSMUSG00000000561,Wdr77,7592.42,9421.46,8914.73,7687.43,9897.72,11042.78
ENSMUSG00000000562,Adora3,0,0,0,3,6.25,2
ENSMUSG00000000563,Atp5f1,13678.93,14872.36,13460.16,17947.35,23499.56,27781.08
ENSMUSG00000000567,Sox9,4720,4400,4706,4087,5100,5553
ENSMUSG00000000568,Hnrnpd,18538.04,22673.94,21073.21,8756.41,11154.72,13092.42
ENSMUSG00000000579,Dynlt1c,483.48,548.93,524.76,242.78,324.79,353.94
ENSMUSG00000000581,C1d,2233,2586,2242,1147,1540,1714
ENSMUSG00000000594,Gm2a,1092,1341,1168,879,1152,1232
ENSMUSG00000000600,Krit1,3156.28,3057.71,2925.9,2149.55,2741.01,3923.32
ENSMUSG00000000605,Clcn4-2,1482,1790,1670,775,1001,1243
ENSMUSG00000000606,Vmn2r88,0,0,0,0,1,0
ENSMUSG00000000617,Grm6,0,0,0,1,0,0
ENSMUSG00000000627,Sema4f,18,23,20,77,130,130
ENSMUSG00000000628,Hk2,4661,4282,3932,2213,2836,3072
ENSMUSG00000000631,Myo18a,6358,7244,6960,3485,4395,5172
ENSMUSG00000000632,Sez6,0,1,0,3,2,4
ENSMUSG00000000673,Haao,0,0,0,1,0,1
ENSMUSG00000000682,Cd52,0,0,0,1,0,1
ENSMUSG00000000686,Abhd15,18.27,11,19.4,48,55.26,56.73
ENSMUSG00000000690,Hoxb6,0,0,1,0,0,2
ENSMUSG00000000693,Loxl3,852.47,773.05,764.05,173.3,211.74,235.65
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,27,55,49,99,138,125
ENSMUSG00000000708,Kat2b,2173,2113,2016,1670.99,2259.97,2858.99
ENSMUSG00000000711,Rab5b,4013,4110,4023,1578,2178,2579
ENSMUSG00000000724,Cryba1,0,0,0,2,5,2
ENSMUSG00000000730,Dnmt3l,0,1,0,3,2,4
ENSMUSG00000000731,Aire,46,15,10,14,16,25
ENSMUSG00000000732,Icosl,92,124,83,105,174,172
ENSMUSG00000000738,Spg7,4168,4298,4194,3620,4679,5769
ENSMUSG00000000739,Sult5a1,0,0,0,1,1,3
ENSMUSG00000000740,Rpl13,27546.78,34308.67,30747.69,27970.36,36865.5,41625.8
ENSMUSG00000000743,Chmp1a,2482,2929,2803,2838,3698,4331
ENSMUSG00000000751,Rpa1,9623,11211,10495,8664,11431,13021
ENSMUSG00000000753,Serpinf1,10,11,22,6,12,16
ENSMUSG00000000759,Tubgcp3,5504,6241,5719,4359,5730,6946
ENSMUSG00000000766,Oprm1,0,0,1,2,6,1
ENSMUSG00000000776,Polr3d,2238,2406,2279,1509,1993,2334
ENSMUSG00000000782,Tcf7,524,613,513,641,758,911
ENSMUSG00000000787,Ddx3x,34565,48239,44531,21370,27608,31629
ENSMUSG00000000791,Il12rb1,265,219,223,142,164,217
ENSMUSG00000000792,Slc5a5,15,19,11,78,113,119
ENSMUSG00000000794,Kcnn3,0,1,1,5,7,7
ENSMUSG00000000804,Usp32,3404,3834,3617,1721,2037,2961
ENSMUSG00000000805,Car4,0,0,0,0,1,0
ENSMUSG00000000811,Txnrd3,339,469,457,265,367,351
ENSMUSG00000000817,Fasl,0,1,0,26,36,82
ENSMUSG00000000823,Znf512b,2342,2716,2859,1120,1330,1933
ENSMUSG00000000826,Dnajc5,6343,7020,6557,5404,7252,8682
ENSMUSG00000000827,Tpd52l2,2881,3175,2918,1842,2317,2966.18
ENSMUSG00000000838,Fmr1,9246.35,10190.94,9518.89,5393.7,6957.75,8228.98
ENSMUSG00000000861,Bcl11a,1445,1043,1033,173,227,346
ENSMUSG00000000869,Il4,0,0,0,0,0,0
ENSMUSG00000000876,Pxmp4,119.63,113.03,99.5,106.01,132.62,136.53
ENSMUSG00000000881,Dlg3,1992,2053,1934,903,1110,1249
ENSMUSG00000000884,Gnb1l,482.56,501.49,424,272,396,458
ENSMUSG00000000889,Dbh,0,0,0,1,0,3
ENSMUSG00000000901,Mmp11,585,577,580,183,217,248
ENSMUSG00000000902,Smarcb1,3636.23,3774.03,3672.98,2801.96,3612.81,4103.66
ENSMUSG00000000903,Vpreb3,0,0,1,1,1,3
ENSMUSG00000000915,Hip1r,1150.26,1311.82,1215.9,944.27,1125.08,1529.34
ENSMUSG00000000916,Nsun5,1497.02,1681.34,1562.22,1506.54,2079.12,2671.79
ENSMUSG00000000934,Top1mt,549,623,579,423,545,706
ENSMUSG00000000938,Hoxa10,1374,1332,1190,514,795,884
ENSMUSG00000000942,Hoxa4,47.95,53,28,66,88,98
ENSMUSG00000000948,Gm38393,136.82,168.45,158.18,45.74,77.68,99.39
ENSMUSG00000000957,Mmp14,6967.2,8690,8640,4631,5995,6048
ENSMUSG00000000958,Slc7a7,69,52,58.05,110,151,196
ENSMUSG00000000959,Oxa1l,2203,2492,2354.95,1513,2120,2202
ENSMUSG00000000976,Heatr6,2592,2734,2618,1844,2516,3128
ENSMUSG00000000982,Ccl3,0,0,0,0,0,2
ENSMUSG00000000983,Wfdc18,0,0,0,0,1,1
ENSMUSG00000001014,Icam4,2,2,0,2,7,9
ENSMUSG00000001016,Ilf2,7150.98,7658.04,6860.88,4942.87,6498.19,7791.54
ENSMUSG00000001017,Chtop,8221,9257,8749,9241,12225.41,14487.14
ENSMUSG00000001018,Snapin,1251.76,1505.97,1348.16,760.81,1093.2,1195.1
ENSMUSG00000001020,S100a4,20826.36,21962.46,20453.08,6437.55,8656.94,10030.96
ENSMUSG00000001021,S100a3,254,250,225.01,111,189,205.87
ENSMUSG00000001023,S100a5,0,0,2,0,1,2
ENSMUSG00000001025,S100a6,60629,67862,61887,40668,50596,57799
ENSMUSG00000001027,Scn4a,1,1,1,6,10,5
ENSMUSG00000001029,Icam2,0,0,0,6,5,10
ENSMUSG00000001034,Mapk7,1535,1528,1525,832,1019,1238
ENSMUSG00000001036,Epn2,4682,6013,6010,2555,3318,3638
ENSMUSG00000001039,B9d1,479,535,469,188,266,325
ENSMUSG00000001052,Sec24b,6820,7321,7433,6948,8809,10907
ENSMUSG00000001053,N4bp3,1032,1190,1246,1112,1494,1704
ENSMUSG00000001054,Rmnd5b,999,1033,932,973,1315,1501
ENSMUSG00000001056,Nhp2,6680,8787,8579,6595,8703,9831
ENSMUSG00000001062,Vps9d1,768,679,670,496,659,886.01
ENSMUSG00000001065,Zfp276,896.18,759.72,785.01,590.41,706.31,1030.09
ENSMUSG00000001076,C1ql4,1,1,0,2,3,6
ENSMUSG00000001082,Mfsd10,1804,1963,1956,1225,1672,2177
ENSMUSG00000001089,Luzp1,4743,5216,5311,2607,3393,4091
ENSMUSG00000001095,Slc13a2,8,7,3,27.97,52.99,50
ENSMUSG00000001098,Kctd10,7420.71,8812.47,8645.11,5003.41,6650.47,7475.39
ENSMUSG00000001100,Poldip2,3831.49,4339.1,4238.89,2808.27,3734.38,4233.3
ENSMUSG00000001103,Sebox,0,0,0,1,2,1
ENSMUSG00000001105,Ift20,1007,1156,1035,1011,1343,1539
ENSMUSG00000001119,Col6a1,1296,1242,1283,358,480,591
ENSMUSG00000001120,Pcbp3,552,461,491,422,515,672
ENSMUSG00000001123,Lgals9,332,418,387,2172,2927,3239
ENSMUSG00000001127,Araf,2409.07,2185,2181.03,1286,1761,2263
ENSMUSG00000001128,Cfp,55,33,42,30,37,67
ENSMUSG00000001131,Timp1,2237,2603,2443,2196,2828,3223
ENSMUSG00000001134,Uxt,387,483,453,297,382.87,426
ENSMUSG00000001138,Cnnm3,1198,833,849,585,795,1014
ENSMUSG00000001143,Lman2l,1267.11,1136.26,1009.61,656.74,904.32,1071.75
ENSMUSG00000001150,Mcm3ap,4476,5397,5359,2799,3423,4307
ENSMUSG00000001151,Pcnt,4504,7125.97,7060.99,2919,3500,4298
ENSMUSG00000001155,Ftcd,0,0,0,0,1,0
ENSMUSG00000001156,Mxd1,188,146,156,206,261,300
ENSMUSG00000001157,Gmcl1,1535.98,1448,1344,869.25,1132.45,1386.33
ENSMUSG00000001158,Snrnp27,1543,1688,1430,917,1292,1529
ENSMUSG00000001166,Oas1c,83,92,81,319,445.99,483.98
ENSMUSG00000001168,Oas1h,0,0,0,3,2,1
ENSMUSG00000001173,Ocrl,2776,2980.01,2778.18,1347.84,1791.82,2133.77
ENSMUSG00000001175,Calm1,29972,30880.78,27232.7,22783,30071.55,34160
ENSMUSG00000001211,Agpat3,5429,5432,5616,3107,4463,5146
ENSMUSG00000001225,Slc26a3,1,0,0,1,2,1
ENSMUSG00000001227,Sema6b,1051,1044,995,580,745,890
ENSMUSG00000001228,Uhrf1,14925,17471,16572,9037,12391,12677
ENSMUSG00000001229,Dpp9,4690,4498,4565,2779,3496,4281
ENSMUSG00000001240,Ramp2,16.8,6,9.55,22,34.15,36.03
ENSMUSG00000001247,Lsr,5108.98,5336.89,5299.21,4158.41,5532.65,6845.79
ENSMUSG00000001248,Gramd1a,2752,2719,2768,1305,1770,2306.84
ENSMUSG00000001249,Hpn,0,0,0,2,11,6
ENSMUSG00000001260,Gabrg1,0,0,0,0,0,0
ENSMUSG00000001270,Ckb,234,268,232,915,1155,1277
ENSMUSG00000001280,Sp1,6400,8036,7644,3164,4118,4853
ENSMUSG00000001281,Itgb7,23,32,39,233,267,283
ENSMUSG00000001285,Myg1,983,1133,1086.45,1038.73,1352.53,1646
ENSMUSG00000001288,Rarg,2390,1923,2043,1195,1607,1985
ENSMUSG00000001289,Pfdn5,2706,3309,2779.55,1677.27,2323.47,2773.89
ENSMUSG00000001300,Efnb2,7889,8871,8050,4258,5686,6474
ENSMUSG00000001305,Rrp15,3246,3624,3327,2850,3698,4380
ENSMUSG00000001313,Rnd2,181.65,193.43,196.43,181.05,254.5,296.74
ENSMUSG00000001323,Srr,513.54,528.34,411.24,435.55,704.59,846.8
ENSMUSG00000001333,Sync,45.26,39.18,46.29,99.57,102.59,113.91
ENSMUSG00000001334,Fndc5,7,9,7,15,15,19
ENSMUSG00000001348,Acp5,1032,952,857,695,1037,1160
ENSMUSG00000001349,Cnn1,1,2,4,14,18,23
ENSMUSG00000001366,Fbxo9,800,798,731,784,1017,1131
ENSMUSG00000001376,Ccdc132,3192,3314.01,2987,1815,2393,3084.98
ENSMUSG00000001380,Hars,5351,5929,5574,4519,6078,7004
ENSMUSG00000001383,Zmat2,2970,3554,3140,1904,2529,2881
ENSMUSG00000001403,Ube2c,8572.76,7910,7560,6203.71,8246.9,10731.73
ENSMUSG00000001415,Smg5,8831.03,11564.02,11699.67,6230,8447.12,9702.14
ENSMUSG00000001416,Cct3,31488,36903,34614,26354,35083,39153
ENSMUSG00000001418,Glmp,2332.37,2572.94,2644.37,1805.15,2572.97,2918.2
ENSMUSG00000001419,Mef2d,3687.07,3869.48,3647.25,2617.72,3441.56,4238.19
ENSMUSG00000001420,Tmem79,2569.03,2330.83,2143.1,1438.39,1816.69,2000.61
ENSMUSG00000001424,Snd1,6682.07,7897,7847,3907,4984,5454
ENSMUSG00000001435,Col18a1,9034,9442,9622,3521,4396,5288
ENSMUSG00000001436,Slc19a1,1840,2111,2089,1096,1481,1696
ENSMUSG00000001440,Kpnb1,56390,70172,66332,36539,46612,54540
ENSMUSG00000001441,Npepps,7736.5,7509.21,7522.18,2716.42,3387.12,4286.95
ENSMUSG00000001444,Tbx21,0,0,0,0,1,4
ENSMUSG00000001445,Mrpl10,2486,2727,2499.97,2578.96,3621,4258.94
ENSMUSG00000001467,Cyp51,7473.83,11221,10974.85,3053,3993.78,4373
ENSMUSG00000001472,Tcf25,11559,13175,12513,11630,15634,17710
ENSMUSG00000001473,Tubb6,13087,15129,14855,9054,12684,13639
ENSMUSG00000001482,Def8,1589,1906,1735,922,1176,1344
ENSMUSG00000001493,Meox1,0,0,0,0,1,0
ENSMUSG00000001494,Sost,1,0,0,1,0,1
ENSMUSG00000001496,Nkx2-1,2.81,4.68,5.11,4.46,2.17,0.72
ENSMUSG00000001497,Pax9,0,0,0,22,40,41
ENSMUSG00000001504,Irx2,4732,4901,5072,1787,2311,2799
ENSMUSG00000001506,Col1a1,41,39,20,411,493,715
ENSMUSG00000001507,Itga3,98307,106197,108179,32444,42302,51555
ENSMUSG00000001508,Sgca,2,0,1,1,1,5
ENSMUSG00000001510,Dlx3,13,15,9,92,112,129
ENSMUSG00000001517,Foxm1,9620,9618,9711.99,11501.87,14629.88,17994.73
ENSMUSG00000001518,Itfg2,619.58,811.23,755.04,597.04,815.86,1077.02
ENSMUSG00000001520,Nrip2,29,39,30,55,99,115.03
ENSMUSG00000001521,Tulp3,2676.9,2802.22,2640.02,1608.98,2063.94,2539.59
ENSMUSG00000001524,Gtf2h4,924,967,948,330,472,549
ENSMUSG00000001525,Tubb5,109002,117872,111145,43255,58321,62460
ENSMUSG00000001542,Ell2,1702,1617,1626,1584,2141,2778
ENSMUSG00000001552,Jup,5461,5869,5627,6392,8006.69,8525
ENSMUSG00000001555,Fkbp10,0,1,3,50,62,87.5
ENSMUSG00000001558,Klhl10,10,10,3,11,19,20
ENSMUSG00000001566,Mnx1,0,0,0,1,0,1
ENSMUSG00000001569,Nom1,4007.3,4932.6,4613.67,2663.35,3409.58,4201.78
ENSMUSG00000001576,Ergic1,7309,7427,7141,4266,5646,6539
ENSMUSG00000001583,Tnk1,1024.4,1134.03,1079.98,558.26,730.22,998.79
ENSMUSG00000001588,Acap1,2919,2753,2907,3824,5035,6062
ENSMUSG00000001604,Tcea3,76,66,58,89,132,126
ENSMUSG00000001622,Csn3,68,80,72,53,68,79
ENSMUSG00000001627,Ifrd1,5873.25,7412.67,6519.92,10997.62,14373.41,17567
ENSMUSG00000001630,Stk38l,730.35,910.65,867.97,1090.1,1385.76,1842.08
ENSMUSG00000001632,Brpf1,2458,3079,3101,1800,2316.99,2634.9
ENSMUSG00000001642,Akr1b3,5370.48,6372.55,6486.24,6483.32,8386.94,9659.52
ENSMUSG00000001655,Hoxc13,0,0,0,1,1,2
ENSMUSG00000001656,Hoxc11,0,0,0,0,0,0
ENSMUSG00000001657,Hoxc8,1,1,3,0,0,0
ENSMUSG00000001661,Hoxc6,4,15,8,12,23,24
ENSMUSG00000001663,Gstt1,11,16,10,11,15,6
ENSMUSG00000001665,Gstt3,307,300,262,280,393,458.41
ENSMUSG00000001666,Ddt,404,461,467,305,388,415.97
ENSMUSG00000001670,Tat,0,0,0,0,1,2
ENSMUSG00000001672,Marveld3,388,390,412,518,664,807
ENSMUSG00000001674,Ddx18,8100,9387.33,8752,8199.99,10579,12008
ENSMUSG00000001687,Ubl3,2305,2360,2336,1887,2552,2951
ENSMUSG00000001700,Gramd3,348,441,380,373,452,510
ENSMUSG00000001707,Eef1e1,2495,2737,2417,2398,3422,4188
ENSMUSG00000001729,Akt1,33422,34865,34025,13532,18391,21381
ENSMUSG00000001739,Cldn15,8,6,9,12,19,31
ENSMUSG00000001741,Il16,0,1,0,1,11,7
ENSMUSG00000001750,Tcirg1,4454.02,3735,3545,3107,4172,5470.41
ENSMUSG00000001751,Naglu,217,232,200,163,207,264
ENSMUSG00000001755,Coasy,1338,1333,1242,659,868,1064
ENSMUSG00000001761,Smo,7180,7010,6850,2779,3752,4429
ENSMUSG00000001763,Tspan33,60,48,37,111,138,148
ENSMUSG00000001767,Crnkl1,2918,3351,3197,2244,2844,3519
ENSMUSG00000001768,Rin2,3123,2826,2940,1421,1700,2094
ENSMUSG00000001773,Folh1,0,0,0,0,0,0
ENSMUSG00000001774,Chordc1,6938,6126,5570,5822,7689,10275
ENSMUSG00000001783,Rtcb,9344,10826,10086,8120,10809,12246
ENSMUSG00000001785,Pwp1,3480,4093,3763,3283,4236,5139
ENSMUSG00000001786,Fbxo7,977,1038,1047.93,887.26,1252.86,1303.64
ENSMUSG00000001794,Capns1,7686,8534,7775,7229,10105,11049
ENSMUSG00000001802,Lrp3,0,0,0,3,1,5
ENSMUSG00000001804,Dsg4,0,1,0,0,2,1
ENSMUSG00000001815,Evx2,0,0,0,0,0,0
ENSMUSG00000001819,Hoxd13,0,0,0,8,13,15
ENSMUSG00000001823,Hoxd12,0,0,0,0,0,0
ENSMUSG00000001827,Folr1,1,0,2,8,3,9
ENSMUSG00000001829,Clpb,2056,2185,2139,2001,2622,3028
ENSMUSG00000001833,7-Sep,20154,22293,19890,17010,22853,26933
ENSMUSG00000001844,Zdhhc4,478,526,497,797,976,1210
ENSMUSG00000001847,Rac1,26257.05,26791.37,24488.87,15790.37,20740.06,24030.68
ENSMUSG00000001855,Nup214,4946.58,6219.86,5904.66,3534.95,4490.91,5318.85
ENSMUSG00000001864,Aif1l,1357,1695,1518,563,739,785
ENSMUSG00000001865,Cpa3,1,0,0,1,0,0
ENSMUSG00000001870,Ltbp1,9269.18,12264.88,11563.88,4551,6080.58,6774.91
ENSMUSG00000001891,Ugp2,2972,3320,2885,2005,2640,2931
ENSMUSG00000001901,Kcnh6,2,0,0,0,0,0
ENSMUSG00000001909,Trmt1,4470,4377,4470.92,3512.02,4786.1,5922.15
ENSMUSG00000001910,Nacc1,13321.14,14960.79,14549.59,6068.26,7912.49,9090.98
ENSMUSG00000001911,Nfix,18854,19520,19183,6000,7517,8899
ENSMUSG00000001918,Slc1a5,5147,6304,5874,3256,4327,4759
ENSMUSG00000001924,Uba1,30966,35363,34171,27012,35300,40237.2
ENSMUSG00000001930,Vwf,16.78,6.29,9.78,10.13,14.22,22.1
ENSMUSG00000001942,Siae,2092,2529,2320,787,960,1178
ENSMUSG00000001943,Vsig2,0,0,0,4,3,9
ENSMUSG00000001946,Esam,11,5,8,62,78,92
ENSMUSG00000001948,Spa17,73,83,78,78,84,104
ENSMUSG00000001962,Fam50a,1452,1440,1332,1379,1859,2254
ENSMUSG00000001964,Emd,2226.34,2385.85,2165.76,1436.28,1896.14,2257.64
ENSMUSG00000001983,Taco1,494,529.98,483.92,366.82,519.86,569.94
ENSMUSG00000001985,Grik3,1,1,0,1,0,2
ENSMUSG00000001986,Gria3,0,0,0,0,0,0
ENSMUSG00000001988,Npas1,2,9,6,2,3,3
ENSMUSG00000001995,Sipa1l2,758,664,675,543,855,1013
ENSMUSG00000001998,Ap4e1,1229.22,1354.11,1232.08,713.3,925.72,1295.87
ENSMUSG00000001999,Blvra,857,958,831,596,794,829
ENSMUSG00000002006,Pdzd4,449.69,446.96,462,303,423.35,497.46
ENSMUSG00000002007,Srpk3,1,5,2,2,5,10
ENSMUSG00000002010,Idh3g,5191,6133,5627,4152,5660,6522
ENSMUSG00000002012,Pnck,12,18,14,13,17,25
ENSMUSG00000002014,Ssr4,2504,2935,2870,2220,2942,3661
ENSMUSG00000002015,Bcap31,4232,4899,4556,3337,4401,5124
ENSMUSG00000002017,Fam98a,3124,3506,3283,1991,2493,2734
ENSMUSG00000002020,Ltbp2,4746.15,4856.36,4417.87,2831.57,3524.14,4124.92
ENSMUSG00000002028,Kmt2a,7855,7251,8216,3503,4220,6213
ENSMUSG00000002031,Ift46,1227.46,1691.03,1408,1676.99,2347.02,2326.96
ENSMUSG00000002032,Tmem25,19,15,18,10,9,25
ENSMUSG00000002033,Cd3g,0,1,0,0,1,0
ENSMUSG00000002043,Trappc6a,350,313,300,178,253,286
ENSMUSG00000002052,Supt6,11018.49,12837.31,12878.25,13172.75,16835.48,20863.2
ENSMUSG00000002055,Spag5,7786,8972.78,8656.84,5709.12,7396.83,9600.73
ENSMUSG00000002057,Foxn1,7,9,6,27,21,36
ENSMUSG00000002058,Unc119,530,535,528,391,583,636
ENSMUSG00000002059,Rab34,4121.77,4452.04,4446.95,2280.16,3055.04,3498
ENSMUSG00000002064,Sdf2,1430.51,1382.69,1333.75,856.25,1175.52,1342.8
ENSMUSG00000002068,Ccne1,529,598,612,527,753,784
ENSMUSG00000002076,Hsf2bp,17,21,12,128,173,183
ENSMUSG00000002083,Bbc3,218,239,242,267,380,381
ENSMUSG00000002100,Mybpc3,0,0,0,2,5,5
ENSMUSG00000002102,Psmc3,10211,11820,11149,8862,11982,13855
ENSMUSG00000002103,Acp2,932.56,1183.08,1036.26,413.37,527.71,691.48
ENSMUSG00000002104,Rapsn,240,208,205,304,447,470
ENSMUSG00000002105,Slc39a13,3196,2768,2589,1197,1551,1917
ENSMUSG00000002107,Celf2,5394,5966,5635,1462,1839,2283
ENSMUSG00000002108,Nr1h3,48,37,45,40,51,75
ENSMUSG00000002109,Ddb2,625.44,563.92,509.74,353.63,461.29,707.52
ENSMUSG00000002111,Spi1,1,0,0,9,3,6
ENSMUSG00000002129,Sf3a1,8222,8449,8444,10266,13210,16315
ENSMUSG00000002147,Stat6,7236,6954,6848,3142,4050,4817
ENSMUSG00000002190,Clgn,0,1,0,4,3,5
ENSMUSG00000002204,Napsa,2,0,1,0,2,0
ENSMUSG00000002205,Vrk3,1044,932,943,667,868,1005
ENSMUSG00000002210,Smg9,1113,1360,1344,722,894,1113
ENSMUSG00000002221,Paxip1,5081.5,5167.93,5097.33,2903.31,3907.13,4989.73
ENSMUSG00000002222,Rmnd5a,2786,2735,2644,1873,2327,3038
ENSMUSG00000002227,Mov10,3604,3362,3272,2022,2597,3158
ENSMUSG00000002228,Ppm1j,270,214,217,164,249,318
ENSMUSG00000002233,Rhoc,10381,11364,10582,4997,7062,8045
ENSMUSG00000002240,Prr27,0,0,0,0,0,0
